OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_PROFILE_GROUP,By.CLASS_NAME,tab-profile-group,1232,0,184,62
CLASS_TAB_ENABLED_2,By.CLASS_NAME,tab-enabled-2,1416,0,184,62
CONTENT_PROFILE_OPTIONS_STYLE_VALITSE_MIELEISESI_PROFIILIS_VY,By.CSS_SELECTOR,.content-profile-options>.style-header>h2,1240,80,352,28
CONTENT_PROFILE_OPTIONS_STYLE_CONTAINER_LIST_S200_TER_SPROFIILI,By.CSS_SELECTOR,.content-profile-options>.style-container-list>p,1240,150,352,20
CONTENT_PROFILE_OPTIONS_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT_0,By.CSS_SELECTOR,.content-profile-options>.style-container-list>div.style.data-set-save-data-bint>.selection-checked>.icon,1242,188,352,80
CONTENT_PROFILE_OPTIONS_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT,By.CSS_SELECTOR,.content-profile-options>.style-container-list>div.style.data-set-save-data-bint>.selection-checked>.bg,1242,188,352,80
ALT_PANELPROFILE_WHITE,By.CSS_SELECTOR,img[alt="panelprofile_white"],1246,188,69,69
CONTENT_PROFILE_OPTIONS_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT_1,By.CSS_SELECTOR,.content-profile-options>.style-container-list>div.style.data-set-save-data-bint>div.style-label,1322,204,272,33
ALT_PANELPROFILE_SILVER,By.CSS_SELECTOR,img[alt="panelprofile_silver"],1246,285,69,69
ALT_PANELPROFILE_SATIN_GOLD,By.CSS_SELECTOR,img[alt="panelprofile_satin_gold"],1246,381,69,69
ALT_PANELPROFILE_BLACK,By.CSS_SELECTOR,img[alt="panelprofile_black"],1246,478,69,69
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
