OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
BODY_MAKUUHUONE,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[1]/DIV[2]/DIV[1],96,320,584,428
BODY_KODINHOITOHUONE,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[1]/DIV[2]/DIV[2],680,320,584,428
BODY_ETEINEN,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[1]/DIV[2]/DIV[3],1264,320,584,428
CLASS_ELEMENT_ENABLE,By.CLASS_NAME,element-enable,1632,782,288,68
CLASS_DISABLE_ELEMENT,By.CLASS_NAME,disable-element,0,782,192,68
CONTAINS_TEXT_KYSYMYS_1_2,By.XPATH,//p[contains(text()@@@"Kysymys 1/2")],96,90,1752,20
