OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CONTAINS_TEXT_KYSYMYS_2,By.XPATH,//p[contains(text()@@@"Kysymys 2/2")],96,90,1752,20
BODY_MIES,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[2]/DIV[2]/DIV[1],96,304,438,428
BODY_NAINEN,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[2]/DIV[2]/DIV[2],534,304,438,428
BODY_PARI,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[2]/DIV[2]/DIV[3],972,304,438,428
BODY_PERHE,By.XPATH,//BODY/SECTION[15]/DIV[1]/DIV[1]/DIV[2]/DIV[2]/DIV[4],1410,304,438,428
CLASS_DISABLE_ELEMENT,By.CLASS_NAME,disable-element,0,766,192,68
CLASS_ELEMENT_ENABLE,By.CLASS_NAME,element-enable,1632,782,288,68
